"product","customer","ct_avg","ny_avg","nj_avg","pa_avg","average","total","count"
"Apple","Boo",561.8,464.51724137931035,555.074074074074,457.2,511.35643564356434,51647,101
"Apple","Chae",497.95652173913044,522.6666666666666,513.1538461538462,418.08,488.7029702970297,49359,101
"Apple","Claire",485.4166666666667,459.47058823529414,483.5357142857143,498.04347826086956,479.5045871559633,52266,109
"Apple","Dan",643.0,496.3666666666667,382.43333333333334,435.8965517241379,491.15,58938,120
"Apple","Emily",435.9428571428571,492.7567567567568,474.6363636363636,514.939393939394,479.7244094488189,60925,127
"Apple","Helen",561.95,557.9166666666666,605.3,540.1739130434783,569.1958762886597,55212,97
"Apple","Mia",574.8285714285714,436.65625,495.27272727272725,410.7,482.74615384615385,62757,130
"Apple","Sam",408.8,465.1666666666667,582.6333333333333,561.9666666666667,506.719298245614,57766,114
"Apple","Wally",509.65,517.2142857142857,514.6,602.8846153846154,534.5137614678899,58262,109
"Butter","Boo",468.4516129032258,515.6410256410256,536.85,452.6969696969697,490.3089430894309,60308,123
"Butter","Chae",425.9166666666667,483.3103448275862,494.25714285714287,505.0,475.3692307692308,61798,130
"Butter","Claire",473.79411764705884,554.6315789473684,565.0,480.8333333333333,519.0458015267176,67995,131
"Butter","Dan",439.8125,547.8064516129032,453.6666666666667,540.0588235294117,486.8067226890756,57930,119
"Butter","Emily",506.3333333333333,587.6129032258065,450.37931034482756,468.71875,503.6896551724138,58428,116
"Butter","Helen",462.969696969697,512.84,473.94736842105266,416.9642857142857,464.56190476190477,48779,105
"Butter","Mia",499.46153846153845,533.6176470588235,484.68,477.7391304347826,502.1666666666667,54234,108
"Butter","Sam",521.3214285714286,622.56,533.2857142857143,440.21875,523.0849056603773,55447,106
"Butter","Wally",466.8076923076923,417.53333333333336,596.8076923076923,457.2647058823529,480.4051724137931,55727,116
"Cherry","Boo",514.421052631579,453.21875,522.0,465.3809523809524,486.66,48666,100
"Cherry","Chae",473.7586206896552,496.42857142857144,431.2142857142857,523.04,488.2,53702,110
"Cherry","Claire",513.0344827586207,599.0769230769231,510.41379310344826,525.125,536.58,53658,100
"Cherry","Dan",502.76666666666665,465.28,463.8333333333333,522.0333333333333,490.89908256880733,53508,109
"Cherry","Emily",475.23809523809524,526.0,519.8387096774194,468.3076923076923,499.49038461538464,51947,104
"Cherry","Helen",446.030303030303,522.3076923076923,493.42857142857144,520.483870967742,493.632,61704,125
"Cherry","Mia",425.23809523809524,484.6296296296296,509.86486486486484,469.22727272727275,478.5327102803738,51203,107
"Cherry","Sam",508.94444444444446,552.3076923076923,508.1,498.5882352941176,515.8888888888889,55716,108
"Cherry","Wally",527.4285714285714,544.1851851851852,556.40625,476.81481481481484,527.5371900826447,63832,121
"Dates","Boo",465.55172413793105,370.3076923076923,515.8125,478.16,460.61607142857144,51589,112
"Dates","Chae",555.04,566.9,453.16,565.3125,538.4107142857143,60302,112
"Dates","Claire",453.3529411764706,452.93548387096774,429.92857142857144,535.6521739130435,465.7171717171717,46106,99
"Dates","Dan",515.7441860465116,472.78125,532.05,445.25,495.4829931972789,72836,147
"Dates","Emily",553.6153846153846,491.625,451.32142857142856,441.0833333333333,484.9909090909091,53349,110
"Dates","Helen",585.8461538461538,469.61538461538464,455.96153846153845,543.6521739130435,512.8811881188119,51801,101
"Dates","Mia",494.76666666666665,417.25,477.2,571.2285714285714,502.14285714285717,52725,105
"Dates","Sam",467.3076923076923,485.96875,548.875,574.7586206896551,520.4453781512605,61933,119
"Dates","Wally",512.4285714285714,417.0416666666667,532.96,555.3142857142857,509.9732142857143,57117,112
"Eggs","Boo",535.7575757575758,447.38709677419354,501.88235294117646,515.8684210526316,501.5882352941176,68216,136
"Eggs","Chae",540.0,547.9310344827586,435.5652173913044,522.6,515.6355140186915,55173,107
"Eggs","Claire",461.96666666666664,416.6923076923077,416.86206896551727,542.6129032258065,462.0948275862069,53603,116
"Eggs","Dan",464.0,518.0,543.2758620689655,533.3809523809524,513.5728155339806,52898,103
"Eggs","Emily",488.5925925925926,377.0,419.9,454.3076923076923,430.47457627118644,50796,118
"Eggs","Helen",471.56666666666666,505.9032258064516,459.64516129032256,591.2,503.0683760683761,58859,117
"Eggs","Mia",454.0625,555.7096774193549,486.3939393939394,523.3214285714286,503.71774193548384,62461,124
"Eggs","Sam",563.75,595.72,516.4827586206897,454.57142857142856,531.921052631579,60639,114
"Eggs","Wally",466.57142857142856,474.45454545454544,571.475,549.9583333333334,515.4924242424242,68045,132
"Fish","Boo",557.2,475.23809523809524,416.40625,588.2631578947369,495.9347826086956,45626,92
"Fish","Chae",427.2413793103448,497.8125,467.17241379310343,450.46666666666664,461.51666666666665,55382,120
"Fish","Claire",530.2608695652174,512.6071428571429,581.0,603.7727272727273,553.5425531914893,52033,94
"Fish","Dan",548.92,532.8095238095239,503.3529411764706,550.8260869565217,531.0194174757281,54695,103
"Fish","Emily",386.8076923076923,488.8529411764706,425.4193548387097,477.875,446.39130434782606,51335,115
"Fish","Helen",523.3793103448276,572.9166666666666,553.53125,443.3076923076923,524.027027027027,58167,111
"Fish","Mia",603.9166666666666,435.8666666666667,519.8888888888889,488.17857142857144,507.1192660550459,55276,109
"Fish","Sam",450.8484848484849,530.6896551724138,491.0,478.7,487.1818181818182,53590,110
"Fish","Wally",542.7037037037037,451.14814814814815,599.6774193548387,516.2954545454545,528.2248062015503,68141,129
"Grapes","Boo",437.1666666666667,444.32142857142856,385.2962962962963,614.75,473.609756097561,58254,123
"Grapes","Chae",481.13793103448273,479.2,514.3703703703703,526.8,499.91509433962267,52991,106
"Grapes","Claire",519.8571428571429,486.7307692307692,513.5862068965517,563.1428571428571,521.3783783783783,57873,111
"Grapes","Dan",382.92,586.48,444.258064516129,539.7741935483871,488.75,54740,112
"Grapes","Emily",398.69565217391306,564.25,462.0833333333333,488.7307692307692,479.4742268041237,46509,97
"Grapes","Helen",494.11538461538464,509.2083333333333,567.5652173913044,442.7142857142857,500.1782178217822,50518,101
"Grapes","Mia",485.4074074074074,405.6764705882353,425.4782608695652,477.5263157894737,444.252427184466,45758,103
"Grapes","Sam",461.77777777777777,429.44444444444446,464.5925925925926,484.25,458.33663366336634,46292,101
"Grapes","Wally",525.6363636363636,516.64,327.5652173913044,579.0384615384615,493.93457943925233,52851,107
"Ham","Boo",471.3333333333333,470.375,582.9714285714285,528.6923076923077,520.651376146789,56751,109
"Ham","Chae",500.85185185185185,507.16,450.9230769230769,546.3181818181819,499.45,49945,100
"Ham","Claire",549.8235294117648,418.40625,524.7037037037037,550.1818181818181,507.4260869565217,58354,115
"Ham","Dan",492.0,501.3157894736842,513.1714285714286,481.16129032258067,497.2432432432432,55194,111
"Ham","Emily",467.22857142857146,440.5483870967742,450.6764705882353,614.4444444444445,495.9779411764706,67453,136
"Ham","Helen",426.80555555555554,377.675,531.7307692307693,560.9411764705883,452.3781512605042,53833,119
"Ham","Mia",426.0,589.625,501.17391304347825,535.1111111111111,516.5473684210526,49072,95
"Ham","Sam",489.8285714285714,580.0454545454545,522.25,465.4117647058824,506.6347826086957,58263,115
"Ham","Wally",522.5833333333334,567.027027027027,440.5416666666667,583.1538461538462,533.8468468468468,59257,111
"Ice","Boo",439.72,430.0,530.8260869565217,488.85185185185185,472.7938144329897,45861,97
"Ice","Chae",522.7027027027027,536.6086956521739,490.037037037037,538.3666666666667,521.9145299145299,61064,117
"Ice","Claire",454.18518518518516,479.89285714285717,525.76,537.5238095238095,496.35643564356434,50132,101
